"Date","Wind.Dir..10s.deg.","Wind.Spd..km.h.","Daily_max_wind","Daily_mean_wind","Two_Day_max_wind","Two_Day_mean_wind","Three_Day_max_wind","Three_Day_mean_wind"
2011-01-05 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-05 22:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-05 23:00:00,NA,0,0,0,2,0.333333333333333,4,0.777777777777778
2011-01-06 00:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 01:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 02:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 03:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 04:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 05:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 06:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 08:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 09:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 10:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 11:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 12:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 13:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 14:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 15:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 16:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 17:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 18:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 19:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 20:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-06 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
